Deal Date,Investors,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2011,500 Startups, Fortify, Maryland Department of Business and Economic Development, True Ventures,,,,,,,,,,,,,,,,,,,,,,,
3/27/2012,Nebraska Global, Nelnet,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2005,DFJ Gotham Ventures, Draper Fisher Jurvetson, Motorola Ventures,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2011,Start Fund, SV Angel, Y Combinator,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2012,Andreessen Horowitz, Bessemer Venture Partners, SV Angel, Thrive Capital, Y Combinator,,,,,,,,,,,,,,,,,,,,,,
1/31/2013,Bessemer Venture Partners, Columbus Nova Private Equity Partners, New Enterprise Associates, Thrive Capital,,,,,,,,,,,,,,,,,,,,,,,
1/29/2014,GCP Gamma Capital Partners, Project A Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/2012,Intersouth Partners, North Bridge Venture Partners, Polaris Partners,,,,,,,,,,,,,,,,,,,,,,,,
9/23/2010,GCP Gamma Capital Partners, SHS Gesellschaft fŸr Beteiligungsmanagement, ZZ Vermogensverwaltung GmbH,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2011,350 Investment Partners, Catapult Ventures Group, Environmental Technologies Fund,,,,,,,,,,,,,,,,,,,,,,,,
9/15/2008,Catapult Ventures Group, The Carbon Trust,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2013,British Gas, Catapult Ventures Group, Environmental Technologies Fund, The Carbon Trust,,,,,,,,,,,,,,,,,,,,,,,
11/15/2006,Adinvest, Brockhaus Private Equity, T-Venture Holding,,,,,,,,,,,,,,,,,,,,,,,,
12/21/2009,ING Belgium, KBC Bank, LRM Limburg Investment Company,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2008,Parker Price Venture Capital, Pond Venture Partners,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2005,Draper Fisher Jurvetson, Gannett Inc, Sand Hill Capital, US Venture Partners,,,,,,,,,,,,,,,,,,,,,,,
